2024-09-19 06:54:53.598119 -- Sleeping 10 segs ... 
2024-09-19 06:55:03.754293 -- Sleeping 10 segs ... 
2024-09-19 06:55:13.902949 -- Sleeping 10 segs ... 
2024-09-19 06:55:24.057812 -- Sleeping 10 segs ... 
2024-09-19 06:55:34.215760 -- Sleeping 10 segs ... 
2024-09-19 06:56:07.576401 -- Sleeping 10 segs ... 
2024-09-19 06:56:17.725348 -- Sleeping 10 segs ... 
2024-09-19 06:56:27.878729 -- Sleeping 10 segs ... 
2024-09-19 06:56:38.040929 -- Sleeping 10 segs ... 
2024-09-19 06:56:48.237205 -- Sleeping 10 segs ... 
2024-09-19 06:56:58.398468 -- Sleeping 10 segs ... 
2024-09-19 06:57:08.551698 -- Sleeping 10 segs ... 
2024-09-19 06:57:18.700332 -- Sleeping 10 segs ... 
2024-09-19 06:57:28.845064 -- Sleeping 10 segs ... 
2024-09-19 06:57:39.000018 -- Sleeping 10 segs ... 
2024-09-19 06:57:52.946887 -- inserting match : EUW1_7117098093 
2024-09-19 06:57:54.429366 -- inserting match : EUW1_7117068021 
2024-09-19 06:58:00.376542 -- inserting match : EUW1_7121796683 
2024-09-19 06:58:06.366303 -- inserting match : EUW1_7118326273 
2024-09-19 06:58:12.329289 -- inserting match : EUW1_7122141514 
2024-09-19 06:58:18.658547 -- Sleeping 10 segs ... 
2024-09-19 06:58:28.818028 -- Sleeping 10 segs ... 
2024-09-19 06:58:38.963970 -- Sleeping 10 segs ... 
2024-09-19 06:58:49.114616 -- Sleeping 10 segs ... 
2024-09-19 06:58:59.319463 -- Sleeping 10 segs ... 
2024-09-19 06:59:09.480855 -- Sleeping 10 segs ... 
2024-09-19 06:59:19.678457 -- Sleeping 10 segs ... 
2024-09-19 06:59:29.836075 -- Sleeping 10 segs ... 
2024-09-19 06:59:39.986989 -- Sleeping 10 segs ... 
2024-09-19 06:59:50.245889 -- inserting match : EUW1_7121961424 
2024-09-19 06:59:51.669156 -- inserting match : EUW1_7121915431 
2024-09-19 06:59:53.085155 -- inserting match : EUW1_7120204759 
2024-09-19 06:59:54.457109 -- inserting match : EUW1_7120178386 
2024-09-19 07:00:19.228679 -- inserting match : EUW1_7119564563 
2024-09-19 07:00:20.730369 -- inserting match : EUW1_7119514368 
2024-09-19 07:00:22.182614 -- inserting match : EUW1_7116484089 
2024-09-19 07:00:27.148599 -- Sleeping 10 segs ... 
2024-09-19 07:00:37.306030 -- Sleeping 10 segs ... 
2024-09-19 07:00:47.457043 -- Sleeping 10 segs ... 
2024-09-19 07:00:57.617378 -- Sleeping 10 segs ... 
2024-09-19 07:01:07.811449 -- Sleeping 10 segs ... 
2024-09-19 07:01:17.962610 -- Sleeping 10 segs ... 
2024-09-19 07:01:28.111509 -- Sleeping 10 segs ... 
2024-09-19 07:01:38.263950 -- Sleeping 10 segs ... 
2024-09-19 07:01:48.417068 -- Sleeping 10 segs ... 
2024-09-19 07:02:04.855290 -- inserting match : EUW1_7122252777 
2024-09-19 07:02:06.303070 -- inserting match : EUW1_7120645101 
2024-09-19 07:02:07.711720 -- inserting match : EUW1_7119979517 
2024-09-19 07:02:09.118338 -- inserting match : EUW1_7119964806 
2024-09-19 07:02:10.587503 -- inserting match : EUW1_7116201572 
2024-09-19 07:02:29.248542 -- Sleeping 10 segs ... 
2024-09-19 07:02:39.400781 -- Sleeping 10 segs ... 
2024-09-19 07:02:49.562562 -- Sleeping 10 segs ... 
2024-09-19 07:02:59.713250 -- Sleeping 10 segs ... 
2024-09-19 07:03:09.896765 -- Sleeping 10 segs ... 
2024-09-19 07:03:20.053453 -- Sleeping 10 segs ... 
2024-09-19 07:03:30.202318 -- Sleeping 10 segs ... 
2024-09-19 07:03:40.363484 -- Sleeping 10 segs ... 
2024-09-19 07:03:50.519884 -- Sleeping 10 segs ... 
